ID,INPUT_1,INPUT_2,INPUT_3,INPUT_4,MAG,AMI,STDEV_1,STDEV_2,STDEV_3,STDEV_4,MEAN_1,MEAN_2,MEAN_3,MEAN_4,MIN_1,MIN_2,MIN_3,MIN_4,MAX_1,MAX_2,MAX_3,MAX_4
0,-114,-140,971,97,654,28347,0.00000916,0.00001221,0.00013428,0.00001678,-107.08,-152.56,968.84,96.48,-116,-167,954,95,-98,-129,980,98
1,-106,-152,980,98,661,26863,0.00001068,0.00000916,0.00004883,0.00001221,-106.76,-151.92,968.76,96.44,-116,-167,954,95,-98,-124,980,98
2,-98,-134,965,96,674,25402,0.00000916,0.00002747,0.00006104,0.00000153,-107.08,-152.76,967.80,96.32,-116,-173,954,95,-98,-124,978,97
3,-106,-142,974,97,744,23990,0.00000916,0.00000610,0.00002441,0.00000305,-107.92,-153.28,968.12,96.36,-119,-173,954,95,-100,-124,978,97
4,-101,-157,975,97,769,22548,0.00001831,0.00001831,0.00010986,0.00000305,-107.84,-153.84,968.04,96.36,-119,-173,954,95,-100,-124,978,97
5,-110,-148,965,96,794,21099,0.00000305,0.00003357,0.00006104,0.00001068,-116.36,-154.04,966.80,96.24,-314,-173,944,94,-100,-124,978,97
6,-108,-154,970,97,857,19702,0.00000305,0.00002441,0.00001221,0.00000153,-118.36,-154.12,967.56,96.32,-314,-173,944,94,-100,-124,984,98
7,-114,-153,967,96,890,18276,0.00001526,0.00000305,0.00004883,0.00000610,-115.96,-152.36,967.24,96.28,-314,-173,944,94,-48,-110,984,98
8,-108,-166,974,97,961,92884,0.00002441,0.00000610,0.00007324,0.00003662,-73.08,-150.72,924.64,131.68,-314,-173,0,0,0,0,984,98
9,-104,-154,974,97,997,131553,0.00003510,0.00001831,0.00002441,0.00003357,-73.24,-147.84,925.12,123.64,-314,-173,0,0,0,0,984,98
10,-102,-158,974,97,1033,169247,0.00000916,0.00000000,0.00007324,0.00004272,-73.52,-102.80,881.36,116.08,-314,-173,0,0,0,0,984,98
11,-111,-153,966,96,1105,245038,0.00007324,0.00009155,0.00031738,0.00004883,-30.48,-101.16,838.16,151.36,-314,-173,0,0,0,0,984,98
12,-106,-155,973,97,1141,282400,0.00004578,0.00006104,0.00004883,0.00000000,-30.64,-98.72,838.24,143.00,-314,-173,0,0,0,0,984,98
13,-105,-157,964,96,1177,319784,0.00006409,0.00008545,0.00009766,0.00001221,-30.60,-53.80,794.52,135.24,-314,-173,0,0,0,0,984,98
14,-104,-160,954,95,1317,355259,0.00000000,0.00012207,0.00009766,0.00000000,12.00,-8.32,794.80,170.08,-314,-173,0,0,0,980,984,967
15,-106,-156,977,97,1456,353932,0.00007324,0.00017090,0.00009766,0.00004883,54.60,37.20,794.88,205.64,-314,-173,0,0,961,980,984,984
16,-103,-157,970,97,1596,352589,0.00021973,0.00004883,0.00012207,0.00009766,97.32,82.48,794.56,240.72,-314,-173,0,0,962,980,984,984
17,-114,-166,972,97,1736,351270,0.00021973,0.00004883,0.00004883,0.00017090,140.08,127.24,794.76,275.56,-314,-173,0,0,966,980,984,984
18,-100,-152,960,96,1875,349927,0.00007324,0.00009766,0.00013428,0.00000000,183.80,172.72,794.68,310.00,-314,-173,0,0,979,980,984,984
19,-111,-129,969,96,1980,348906,0.00009766,0.00012207,0.00007324,0.00019531,226.76,217.68,795.56,345.40,-314,-173,0,0,979,980,984,984
20,-104,-157,959,95,2087,349013,0.00031738,0.00021973,0.00007324,0.00000000,269.40,261.92,795.36,381.00,-314,-173,0,0,979,980,984,986
21,-112,-140,968,96,2207,349133,0.00017090,0.00019531,0.00002441,0.00009766,312.44,306.92,796.12,416.08,-314,-173,0,0,979,980,984,986
22,-104,-152,978,97,2277,349203,0.00039063,0.00039063,0.00012207,0.00007324,356.16,351.16,796.60,451.20,-314,-173,0,0,981,980,984,986
23,-116,-155,961,96,2392,349318,0.00039063,0.00009766,0.00014648,0.00008545,398.88,396.52,796.72,486.48,-314,-173,0,0,981,982,984,986
24,-110,-167,961,96,2515,349441,0.00031738,0.00019531,0.00007324,0.00046387,442.20,442.04,797.32,521.36,-314,-173,0,0,981,983,984,986
25,-106,-124,969,96,2589,349516,0.00018311,0.00028076,0.00009766,0.00009766,485.08,487.20,797.64,556.24,-314,-173,0,0,981,983,984,986
26,-114,-173,956,95,2722,349648,0.00046387,0.00029297,0.00000000,0.00001221,528.36,530.24,798.00,590.80,-314,-173,0,0,981,983,984,986
27,-119,-147,973,97,2848,349774,0.00006104,0.00000000,0.00009766,0.00014648,572.04,576.00,798.48,625.56,-314,-162,0,0,981,983,984,986
28,-104,-156,972,97,2916,349842,0.00000000,0.00024414,0.00026855,0.00009766,615.76,619.80,798.16,660.24,-314,-162,0,0,981,983,984,986
29,-314,-162,944,94,3031,349958,0.00004883,0.00004883,0.00004883,0.00019531,658.80,664.32,798.24,695.40,-314,-162,0,0,981,983,984,986
30,-160,-150,984,98,3146,350073,0.00019531,0.00003662,0.00031738,0.00013428,710.60,709.96,799.16,730.56,-160,-150,0,0,981,983,984,986
31,-48,-110,962,96,3224,350151,0.00014648,0.00032959,0.00019531,0.00021973,755.60,755.84,798.12,765.64,-48,-110,0,0,981,997,982,986
32,-37,-101,1001,100,3330,350256,0.00001526,0.00000763,0.00008545,0.00001068,-115.80,-106.40,971.92,96.76,-164,-129,948,94,-42,-80,1001,100
33,-42,-108,948,94,3399,274321,0.00001068,0.00001678,0.00010986,0.00000305,-119.24,-106.52,971.04,96.64,-164,-129,948,94,-42,-80,994,99
34,-54,-80,994,99,3502,234300,0.00000000,0.00000153,0.00000000,0.00000305,-122.00,-106.68,971.00,96.64,-164,-129,947,94,-54,-80,994,99
35,-164,-116,956,95,3605,195256,0.00000000,0.00000916,0.00003662,0.00000763,-125.00,-107.92,970.68,96.60,-164,-129,947,94,-107,-82,988,98
36,-148,-96,978,97,3673,118129,0.00000305,0.00000305,0.00010986,0.00000305,-123.36,-107.64,970.96,96.64,-148,-129,947,94,-107,-82,988,98
37,-136,-114,970,97,3777,79425,0.00001221,0.00001526,0.00001221,0.00000610,-122.44,-107.80,971.44,96.72,-136,-129,947,94,-107,-82,990,99
38,-107,-117,962,96,3880,40706,0.00000610,0.00001221,0.00006104,0.00000153,-121.72,-107.44,971.20,96.68,-130,-129,947,94,-107,-82,990,99
39,-121,-129,985,98,3880,3880,0.00000763,0.00001373,0.00001221,0.00000153,-122.40,-107.12,971.44,96.68,-130,-129,947,94,-111,-82,990,99
40,-115,-112,973,97,3879,3879,0.00002441,0.00001221,0.00002441,0.00000000,-79.24,-106.44,928.12,132.00,-130,-124,0,0,0,0,990,99
41,-127,-111,969,96,3877,3877,0.00001068,0.00000610,0.00007324,0.00000610,-79.12,-105.72,928.64,123.96,-130,-124,0,0,0,0,990,99
42,-117,-110,963,96,3877,3877,0.00002747,0.00004883,0.00020752,0.00001221,-78.48,-62.40,885.08,116.44,-130,-124,0,0,0,0,990,99
43,-119,-124,970,97,3877,3877,0.00008545,0.00001068,0.00021973,0.00002441,-34.84,-62.68,842.32,151.76,-130,-124,0,0,0,0,990,99
44,-128,-104,963,96,3874,3874,0.00008698,0.00003967,0.00004883,0.00004883,-34.68,-61.40,842.24,143.36,-130,-120,0,0,0,0,990,99
45,-130,-114,974,97,3874,3874,0.00001831,0.00007324,0.00025635,0.00003662,-33.76,-18.52,798.92,135.64,-130,-120,0,0,0,0,990,99
46,-124,-87,975,97,3874,3874,0.00001221,0.00002441,0.00024414,0.00000000,9.84,24.60,798.92,170.92,-130,-120,0,0,0,964,990,979
47,-120,-119,970,97,3873,3873,0.00000000,0.00009766,0.00019531,0.00000000,54.00,66.72,798.36,206.00,-130,-120,0,0,980,966,990,979
48,-129,-104,975,97,3872,3872,0.00004883,0.00017090,0.00009766,0.00012207,97.52,110.64,798.48,240.80,-130,-120,0,0,980,979,990,979
49,-127,-99,967,96,3872,3872,0.00012207,0.00000000,0.00014648,0.00009766,141.36,153.72,798.36,275.72,-130,-120,0,0,980,979,990,979
50,-117,-103,962,96,3871,3871,0.00017090,0.00017090,0.00012207,0.00021973,185.44,196.56,798.64,310.44,-130,-120,0,0,980,979,990,979
51,-130,-120,972,97,3871,3871,0.00009766,0.00031738,0.00021973,0.00004883,228.52,239.40,799.16,345.48,-130,-120,0,0,980,979,990,979
52,-111,-94,969,96,3870,3870,0.00031738,0.00029297,0.00012207,0.00000000,272.88,282.76,798.60,380.00,-129,-112,0,0,980,979,990,979
53,-123,-104,988,98,3870,3870,0.00000000,0.00000000,0.00002441,0.00009766,316.52,325.48,799.44,413.28,-129,-112,0,0,980,979,990,979
54,-120,-82,982,98,3870,3870,0.00026855,0.00000000,0.00009766,0.00018311,360.80,368.52,797.52,445.04,-129,-112,0,0,984,979,990,979
55,-124,-112,968,96,3867,3867,0.00029907,0.00020142,0.00004883,0.00028076,400.40,405.08,793.76,473.60,-129,-112,0,0,984,979,990,979
56,-125,-100,964,96,3866,3866,0.00008545,0.00046387,0.00002441,0.00014648,435.68,441.64,793.12,500.32,-129,-112,0,0,984,979,990,979
57,-123,-104,979,97,3867,3867,0.00009766,0.00025635,0.00019531,0.00021973,476.76,473.40,787.84,530.40,-129,-112,0,0,984,979,990,979
58,-111,-112,947,94,3865,3865,0.00009766,0.00009766,0.00000000,0.00014648,514.16,512.68,786.20,560.44,-129,-112,0,0,984,979,990,979
59,-129,-111,986,98,3864,3864,0.00019531,0.00000000,0.00002441,0.00039063,560.28,553.00,787.12,596.36,-129,-111,0,0,1042,979,990,992
60,-123,-109,963,96,3864,3864,0.00024414,0.00034180,0.00014648,0.00017090,604.08,595.28,786.68,631.12,-125,-109,0,0,1042,979,990,992
61,-125,-100,990,99,3863,3863,0.00010986,0.00036621,0.00007324,0.00014648,647.80,638.36,786.88,665.80,-125,-109,0,0,1042,979,990,992
62,-118,-105,964,96,3862,3862,0.00019531,0.00024414,0.00004883,0.00014648,691.32,680.92,785.76,700.20,-124,-109,0,0,1042,979,990,992
63,-124,-109,968,96,3861,3861,0.00004883,0.00023193,0.00004883,0.00013428,734.76,724.32,785.76,734.80,-124,-109,0,0,1042,980,990,992
64,-118,-115,963,96,3861,3861,0.00000153,0.00012207,0.00004883,0.00003662,85.88,137.80,606.24,183.68,-133,-136,-121,-113,992,992,1003,988
65,-121,-103,969,96,3860,3860,0.00004883,0.00013428,0.00004883,0.00007324,130.12,137.56,568.96,219.52,-133,-136,-121,-113,992,992,1003,992
66,-128,-118,969,96,3860,3860,0.00013428,0.00013428,0.00014648,0.00012817,130.44,142.44,569.72,211.16,-133,-136,-121,-113,992,992,1003,992
67,-130,-107,960,96,3860,3860,0.00018311,0.00014648,0.00024414,0.00000000,136.32,186.68,526.12,208.56,-133,-136,-121,-113,992,992,1003,992
68,-122,-82,984,98,3860,3860,0.00012207,0.00009766,0.00034180,0.00003662,181.20,186.44,488.64,244.08,-133,-136,-121,-113,992,992,1003,992
69,-128,-124,968,96,3859,3859,0.00009766,0.00009460,0.00002441,0.00004883,181.56,190.48,488.48,235.64,-133,-136,-121,-113,992,992,1003,992
70,-133,-106,970,97,3858,3858,0.00004883,0.00003662,0.00002441,0.00007324,187.44,234.80,445.40,232.72,-133,-136,-121,-113,992,992,1003,992
71,-117,-114,967,96,3857,3857,0.00012207,0.00009766,0.00015869,0.00007324,232.28,234.52,407.68,268.36,-131,-136,-121,-113,992,992,1003,992
72,-118,-98,978,97,3856,3856,0.00012207,0.00003662,0.00025635,0.00004883,275.28,234.60,365.08,303.76,-131,-136,-121,-113,992,992,1003,992
73,-125,-99,972,97,3855,3855,0.00006714,0.00004883,0.00009766,0.00011597,275.52,234.76,365.40,295.72,-131,-136,-121,-113,992,992,1003,992
74,-131,-101,982,98,3854,3854,0.00014648,0.00002441,0.00012207,0.00007324,276.08,277.60,321.72,288.16,-131,-136,-121,-113,992,992,1003,992
