-114,-140,971,97
-106,-152,980,98
-98,-134,965,96
-106,-142,974,97
-101,-157,975,97
-110,-148,965,96
-108,-154,970,97
-114,-153,967,96
-108,-166,974,97
-104,-154,974,97
-102,-158,974,97
-111,-153,966,96
-106,-155,973,97
-105,-157,964,96
-104,-160,954,95
-106,-156,977,97
-103,-157,970,97
-114,-166,972,97
-100,-152,960,96
-111,-129,969,96
-104,-157,959,95
-112,-140,968,96
-104,-152,978,97
-116,-155,961,96
-110,-167,961,96
-106,-124,969,96
-114,-173,956,95
-119,-147,973,97
-104,-156,972,97
-314,-162,944,94
-160,-150,984,98
-48,-110,962,96
-37,-101,1001,100
-42,-108,948,94
-54,-80,994,99
-164,-116,956,95
-148,-96,978,97
-136,-114,970,97
-107,-117,962,96
-121,-129,985,98
-115,-112,973,97
-127,-111,969,96
-117,-110,963,96
-119,-124,970,97
-128,-104,963,96
-130,-114,974,97
-124,-87,975,97
-120,-119,970,97
-129,-104,975,97
-127,-99,967,96
-117,-103,962,96
-130,-120,972,97
-111,-94,969,96
-123,-104,988,98
-120,-82,982,98
-124,-112,968,96
-125,-100,964,96
-123,-104,979,97
-111,-112,947,94
-129,-111,986,98
-123,-109,963,96
-125,-100,990,99
-118,-105,964,96
-124,-109,968,96
-118,-115,963,96
-121,-103,969,96
-128,-118,969,96
-130,-107,960,96
-122,-82,984,98
-128,-124,968,96
-133,-106,970,97
-117,-114,967,96
-118,-98,978,97
-125,-99,972,97
-131,-101,982,98
-127,-86,969,96
-142,-92,989,98
-119,-94,951,95
-139,-105,965,96
-136,-81,968,96
-133,-103,970,97
-130,-91,988,98
-128,-90,974,97
-134,-97,979,97
-127,-92,967,96
-130,-96,968,96
-122,-92,964,96
-136,-83,990,99
-126,-87,971,97
-138,-87,967,96
-133,-93,974,97
-129,-91,956,95
-140,-95,974,97
-131,-90,969,96
-132,-90,975,97
-118,-89,960,96
-143,-93,972,97
-128,-80,962,96
-132,-94,974,97
-136,-78,968,96
